num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
5,2,0.8,100,MCMC,2,1
5,2,0.8,1000,MCMC,1,1
5,2,0.8,500,MCMC,0,2
5,2,0.8,100,MCMC,5,2
5,2,0.6,1000,MCMC,4,1
5,2,0.6,500,MCMC,3,2
5,2,0.6,100,MCMC,10,2
5,2,0.6,1000,MCMC,2,1
5,2,0.6,500,MCMC,4,0
5,2,0.6,100,MCMC,5,1
5,2,0.4,1000,MCMC,1,0
5,2,0.4,500,MCMC,1,1
5,2,0.4,100,MCMC,4,1
5,2,0.4,1000,MCMC,3,0
5,2,0.4,500,MCMC,6,1
5,2,0.4,100,MCMC,4,0
5,2,0.2,1000,MCMC,1,1
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,1,1
5,2,0.2,1000,MCMC,0,1
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,1,1
8,4,0.8,1000,MCMC,20,2
8,4,0.8,500,MCMC,24,4
8,4,0.8,100,MCMC,23,4
8,2,0.8,1000,MCMC,23,4
8,2,0.8,500,MCMC,27,5
8,2,0.8,100,MCMC,21,5
8,4,0.6,1000,MCMC,7,3
8,4,0.6,500,MCMC,15,4
8,4,0.6,100,MCMC,21,4
8,2,0.6,1000,MCMC,18,5
8,2,0.6,500,MCMC,24,5
8,2,0.6,100,MCMC,11,4
8,4,0.4,1000,MCMC,18,4
8,4,0.4,500,MCMC,22,4
8,4,0.4,100,MCMC,14,4
8,2,0.4,1000,MCMC,11,3
8,2,0.4,500,MCMC,13,5
8,2,0.4,100,MCMC,4,3
8,4,0.2,1000,MCMC,5,3
8,4,0.2,500,MCMC,6,1
8,4,0.2,100,MCMC,5,3
8,2,0.2,1000,MCMC,7,2
8,2,0.2,500,MCMC,10,2
8,2,0.2,100,MCMC,11,2
5,2,0.8,1000,MCMC,1,1
5,2,0.8,500,MCMC,7,0
5,2,0.8,100,MCMC,2,0
5,2,0.8,1000,MCMC,1,1
5,2,0.8,500,MCMC,2,2
5,2,0.8,100,MCMC,1,2
5,2,0.6,1000,MCMC,6,0
5,2,0.6,500,MCMC,6,0
5,2,0.6,100,MCMC,4,0
5,2,0.6,1000,MCMC,0,2
5,2,0.6,500,MCMC,5,0
5,2,0.6,100,MCMC,6,2
5,2,0.4,1000,MCMC,4,1
5,2,0.4,500,MCMC,4,2
5,2,0.4,100,MCMC,2,2
5,2,0.4,1000,MCMC,0,0
5,2,0.4,500,MCMC,3,0
5,2,0.4,100,MCMC,2,0
5,2,0.2,1000,MCMC,3,0
5,2,0.2,500,MCMC,0,1
5,2,0.2,100,MCMC,1,0
5,2,0.2,1000,MCMC,2,0
5,2,0.2,500,MCMC,0,2
5,2,0.2,100,MCMC,1,1
8,4,0.8,1000,MCMC,10,4
8,4,0.8,500,MCMC,14,4
8,4,0.8,100,MCMC,19,3
8,2,0.8,1000,MCMC,13,4
8,2,0.8,500,MCMC,30,4
8,2,0.8,100,MCMC,16,4
8,4,0.6,1000,MCMC,14,1
8,4,0.6,500,MCMC,8,3
8,4,0.6,100,MCMC,17,0
8,2,0.6,1000,MCMC,14,3
