num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,3,0.2,100,MCMC,2,2,2
6,2,0.2,1000,MCMC,3,0,3
6,2,0.2,500,MCMC,1,1,1
6,2,0.2,100,MCMC,4,2,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,4,1,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,1,0,1
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,8,2,8
4,2,0.6,1000,MCMC,4,1,4
4,2,0.6,500,MCMC,4,1,4
4,2,0.6,100,MCMC,4,1,4
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,2,0,2
4,2,0.4,100,MCMC,1,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,2,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,2,2
6,3,0.8,1000,MCMC,3,2,9
6,3,0.8,500,MCMC,4,1,10
6,3,0.8,100,MCMC,4,2,7
6,2,0.8,1000,MCMC,8,0,14
6,2,0.8,500,MCMC,5,2,13
6,2,0.8,100,MCMC,17,2,18
6,3,0.6,1000,MCMC,4,1,7
6,3,0.6,500,MCMC,8,1,9
6,3,0.6,100,MCMC,10,1,11
6,2,0.6,1000,MCMC,2,1,4
6,2,0.6,500,MCMC,0,1,5
6,2,0.6,100,MCMC,1,0,5
6,3,0.4,1000,MCMC,0,1,3
6,3,0.4,500,MCMC,1,1,3
6,3,0.4,100,MCMC,2,1,4
6,2,0.4,1000,MCMC,3,0,3
6,2,0.4,500,MCMC,2,0,2
6,2,0.4,100,MCMC,1,1,1
6,3,0.2,1000,MCMC,2,0,2
6,3,0.2,500,MCMC,2,1,2
6,3,0.2,100,MCMC,1,1,1
6,2,0.2,1000,MCMC,1,2,1
6,2,0.2,500,MCMC,2,2,2
6,2,0.2,100,MCMC,1,3,1
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,7,1,7
4,2,0.8,1000,MCMC,0,1,0
4,2,0.8,500,MCMC,2,1,2
4,2,0.8,100,MCMC,1,1,2
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,1
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,2,0,3
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,2,0,2
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,1,0,1
6,3,0.8,1000,MCMC,0,1,1
6,3,0.8,500,MCMC,0,2,3
6,3,0.8,100,MCMC,3,2,6
6,2,0.8,1000,MCMC,3,2,9
6,2,0.8,500,MCMC,8,3,13
6,2,0.8,100,MCMC,12,3,14
6,3,0.6,1000,MCMC,2,2,7
6,3,0.6,500,MCMC,1,0,6
6,3,0.6,100,MCMC,8,3,10
6,2,0.6,1000,MCMC,2,1,5
6,2,0.6,500,MCMC,1,1,7
6,2,0.6,100,MCMC,5,1,10
6,3,0.4,1000,MCMC,3,0,5
6,3,0.4,500,MCMC,2,3,5
6,3,0.4,100,MCMC,2,3,4
6,2,0.4,1000,MCMC,0,2,0
6,2,0.4,500,MCMC,1,2,2
6,2,0.4,100,MCMC,0,3,1
6,3,0.2,1000,MCMC,1,0,1
6,3,0.2,500,MCMC,2,1,2
6,3,0.2,100,MCMC,1,0,1
6,2,0.2,1000,MCMC,1,0,3
6,2,0.2,500,MCMC,1,1,2
6,2,0.2,100,MCMC,0,2,2
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,1
4,2,0.8,1000,MCMC,0,1,1
4,2,0.8,500,MCMC,0,1,0
4,2,0.8,100,MCMC,7,1,7
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,2,1,2
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,1
4,2,0.6,100,MCMC,0,0,2
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,2,0,2
4,2,0.4,100,MCMC,2,0,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,2,2
4,2,0.2,1000,MCMC,0,1,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,8,1,11
6,3,0.8,500,MCMC,4,0,6
6,3,0.8,100,MCMC,8,0,8
6,2,0.8,1000,MCMC,1,1,7
6,2,0.8,500,MCMC,7,1,10
6,2,0.8,100,MCMC,12,1,14
6,3,0.6,1000,MCMC,1,2,5
6,3,0.6,500,MCMC,1,1,5
6,3,0.6,100,MCMC,0,3,4
6,2,0.6,1000,MCMC,2,1,8
6,2,0.6,500,MCMC,2,1,6
6,2,0.6,100,MCMC,3,1,6
6,3,0.4,1000,MCMC,1,1,3
6,3,0.4,500,MCMC,0,1,1
6,3,0.4,100,MCMC,2,0,3
6,2,0.4,1000,MCMC,0,1,2
6,2,0.4,500,MCMC,1,2,2
6,2,0.4,100,MCMC,1,1,1
6,3,0.2,1000,MCMC,2,1,3
6,3,0.2,500,MCMC,2,2,2
6,3,0.2,100,MCMC,1,1,1
6,2,0.2,1000,MCMC,2,1,2
6,2,0.2,500,MCMC,0,1,0
6,2,0.2,100,MCMC,2,1,2
4,2,0.8,1000,MCMC,0,0,2
4,2,0.8,500,MCMC,6,2,6
4,2,0.8,100,MCMC,0,0,1
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,2,0,2
4,2,0.8,100,MCMC,6,0,6
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,1
4,2,0.6,100,MCMC,5,0,5
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,1,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,1
4,2,0.4,100,MCMC,2,0,2
4,2,0.4,1000,MCMC,0,0,1
4,2,0.4,500,MCMC,0,0,1
4,2,0.4,100,MCMC,0,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,0,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,1,0,7
6,3,0.8,500,MCMC,4,0,9
6,3,0.8,100,MCMC,6,0,10
6,2,0.8,1000,MCMC,1,2,10
6,2,0.8,500,MCMC,15,2,19
6,2,0.8,100,MCMC,12,1,14
6,3,0.6,1000,MCMC,2,1,5
6,3,0.6,500,MCMC,0,1,3
6,3,0.6,100,MCMC,1,1,5
6,2,0.6,1000,MCMC,1,0,5
6,2,0.6,500,MCMC,4,2,7
6,2,0.6,100,MCMC,3,1,5
6,3,0.4,1000,MCMC,1,0,1
6,3,0.4,500,MCMC,2,0,2
6,3,0.4,100,MCMC,1,1,1
6,2,0.4,1000,MCMC,1,2,4
6,2,0.4,500,MCMC,1,0,1
6,2,0.4,100,MCMC,5,1,5
6,3,0.2,1000,MCMC,1,2,2
6,3,0.2,500,MCMC,1,2,1
6,3,0.2,100,MCMC,1,0,2
6,2,0.2,1000,MCMC,2,2,4
6,2,0.2,500,MCMC,1,1,2
6,2,0.2,100,MCMC,6,2,6
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,0,1,0
4,2,0.8,1000,MCMC,0,0,2
4,2,0.8,500,MCMC,0,0,2
4,2,0.8,100,MCMC,6,1,7
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,2
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,1,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,1,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,4,0,4
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,2,0,2
4,2,0.2,100,MCMC,1,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,2,0,2
6,3,0.8,1000,MCMC,1,2,6
6,3,0.8,500,MCMC,2,0,7
6,3,0.8,100,MCMC,12,2,13
6,2,0.8,1000,MCMC,3,2,9
6,2,0.8,500,MCMC,5,2,10
6,2,0.8,100,MCMC,3,1,6
6,3,0.6,1000,MCMC,3,3,7
6,3,0.6,500,MCMC,0,2,4
6,3,0.6,100,MCMC,4,0,7
6,2,0.6,1000,MCMC,3,3,8
6,2,0.6,500,MCMC,0,1,6
6,2,0.6,100,MCMC,9,4,11
6,3,0.4,1000,MCMC,1,1,4
6,3,0.4,500,MCMC,2,1,5
6,3,0.4,100,MCMC,2,1,4
6,2,0.4,1000,MCMC,1,0,2
6,2,0.4,500,MCMC,1,0,2
6,2,0.4,100,MCMC,1,2,3
6,3,0.2,1000,MCMC,3,2,5
6,3,0.2,500,MCMC,2,3,5
6,3,0.2,100,MCMC,9,3,11
6,2,0.2,1000,MCMC,2,3,2
6,2,0.2,500,MCMC,3,0,3
6,2,0.2,100,MCMC,7,3,7
4,2,0.8,1000,MCMC,5,2,6
4,2,0.8,500,MCMC,5,2,6
4,2,0.8,100,MCMC,5,2,6
4,2,0.8,1000,MCMC,10,2,10
4,2,0.8,500,MCMC,8,1,8
4,2,0.8,100,MCMC,7,1,7
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,7,2,7
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,4,1,4
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,1,0,1
4,2,0.2,500,MCMC,1,1,1
4,2,0.2,100,MCMC,1,1,1
6,3,0.8,1000,MCMC,13,2,15
6,3,0.8,500,MCMC,2,3,8
6,3,0.8,100,MCMC,12,1,13
6,2,0.8,1000,MCMC,2,1,12
6,2,0.8,500,MCMC,0,1,8
6,2,0.8,100,MCMC,3,1,10
6,3,0.6,1000,MCMC,3,1,7
6,3,0.6,500,MCMC,3,1,7
6,3,0.6,100,MCMC,0,0,3
6,2,0.6,1000,MCMC,2,0,4
6,2,0.6,500,MCMC,2,0,3
6,2,0.6,100,MCMC,1,0,3
6,3,0.4,1000,MCMC,7,3,11
6,3,0.4,500,MCMC,5,3,9
6,3,0.4,100,MCMC,4,1,7
6,2,0.4,1000,MCMC,2,0,5
6,2,0.4,500,MCMC,1,0,4
6,2,0.4,100,MCMC,3,1,4
6,3,0.2,1000,MCMC,2,0,3
6,3,0.2,500,MCMC,3,0,4
6,3,0.2,100,MCMC,3,0,3
6,2,0.2,1000,MCMC,0,1,0
6,2,0.2,500,MCMC,3,1,3
6,2,0.2,100,MCMC,6,0,6
4,2,0.8,1000,MCMC,0,2,0
4,2,0.8,500,MCMC,3,1,3
4,2,0.8,100,MCMC,0,2,0
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,1,0
4,2,0.8,100,MCMC,0,1,0
4,2,0.6,1000,MCMC,6,1,6
4,2,0.6,500,MCMC,2,1,2
4,2,0.6,100,MCMC,6,1,6
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,1,0,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,1,0
4,2,0.2,1000,MCMC,0,0,1
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,1,0
6,3,0.8,1000,MCMC,16,4,18
6,3,0.8,500,MCMC,18,3,18
6,3,0.8,100,MCMC,8,3,13
6,2,0.8,1000,MCMC,18,2,20
6,2,0.8,500,MCMC,10,2,15
6,2,0.8,100,MCMC,13,1,14
6,3,0.6,1000,MCMC,4,0,6
6,3,0.6,500,MCMC,12,1,12
6,3,0.6,100,MCMC,8,2,8
6,2,0.6,1000,MCMC,2,1,4
6,2,0.6,500,MCMC,1,1,3
6,2,0.6,100,MCMC,1,1,3
6,3,0.4,1000,MCMC,1,0,3
6,3,0.4,500,MCMC,5,2,7
6,3,0.4,100,MCMC,1,1,3
6,2,0.4,1000,MCMC,1,0,4
6,2,0.4,500,MCMC,5,3,6
6,2,0.4,100,MCMC,9,3,9
6,3,0.2,1000,MCMC,1,2,1
6,3,0.2,500,MCMC,3,2,4
6,3,0.2,100,MCMC,5,2,5
6,2,0.2,1000,MCMC,2,0,2
6,2,0.2,500,MCMC,2,1,2
6,2,0.2,100,MCMC,4,1,4
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,3,1,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,1,1,1
4,2,0.8,100,MCMC,1,0,1
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,1,0
4,2,0.6,100,MCMC,0,2,1
4,2,0.6,1000,MCMC,2,0,2
4,2,0.6,500,MCMC,7,2,7
4,2,0.6,100,MCMC,4,0,4
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,1,0,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,2,1,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,1,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,5,1,8
6,3,0.8,500,MCMC,1,1,4
6,3,0.8,100,MCMC,10,3,11
6,2,0.8,1000,MCMC,2,1,8
6,2,0.8,500,MCMC,0,0,8
6,2,0.8,100,MCMC,1,1,8
6,3,0.6,1000,MCMC,2,0,5
6,3,0.6,500,MCMC,2,1,4
6,3,0.6,100,MCMC,2,1,3
6,2,0.6,1000,MCMC,2,0,9
6,2,0.6,500,MCMC,9,1,11
6,2,0.6,100,MCMC,6,3,9
6,3,0.4,1000,MCMC,2,0,10
6,3,0.4,500,MCMC,4,2,9
6,3,0.4,100,MCMC,14,3,15
6,2,0.4,1000,MCMC,6,2,10
6,2,0.4,500,MCMC,0,1,6
6,2,0.4,100,MCMC,9,0,10
6,3,0.2,1000,MCMC,6,3,6
6,3,0.2,500,MCMC,2,1,3
6,3,0.2,100,MCMC,2,1,3
6,2,0.2,1000,MCMC,1,1,1
6,2,0.2,500,MCMC,1,2,1
6,2,0.2,100,MCMC,1,0,1
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,0,0,2
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,6,0,6
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,5,2,5
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,1,1,9
6,3,0.8,500,MCMC,1,1,8
6,3,0.8,100,MCMC,12,2,14
6,2,0.8,1000,MCMC,16,3,19
6,2,0.8,500,MCMC,6,3,12
6,2,0.8,100,MCMC,11,2,13
6,3,0.6,1000,MCMC,4,1,7
6,3,0.6,500,MCMC,5,3,8
6,3,0.6,100,MCMC,3,0,6
6,2,0.6,1000,MCMC,1,1,7
6,2,0.6,500,MCMC,0,1,4
6,2,0.6,100,MCMC,2,0,6
6,3,0.4,1000,MCMC,1,1,4
6,3,0.4,500,MCMC,1,1,5
6,3,0.4,100,MCMC,7,2,8
6,2,0.4,1000,MCMC,4,0,6
6,2,0.4,500,MCMC,3,0,3
6,2,0.4,100,MCMC,3,0,4
6,3,0.2,1000,MCMC,1,1,1
6,3,0.2,500,MCMC,0,3,0
6,3,0.2,100,MCMC,3,0,3
6,2,0.2,1000,MCMC,1,0,2
6,2,0.2,500,MCMC,2,0,2
6,2,0.2,100,MCMC,3,0,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,2,0,2
4,2,0.8,100,MCMC,2,0,2
4,2,0.8,1000,MCMC,1,0,1
4,2,0.8,500,MCMC,1,0,1
4,2,0.8,100,MCMC,1,0,1
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,1,0,2
4,2,0.6,100,MCMC,5,0,5
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,1,1,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,1,2,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,1,0,8
6,3,0.8,500,MCMC,2,2,7
6,3,0.8,100,MCMC,6,0,9
6,2,0.8,1000,MCMC,2,0,6
6,2,0.8,500,MCMC,3,0,7
6,2,0.8,100,MCMC,1,0,7
6,3,0.6,1000,MCMC,16,2,16
6,3,0.6,500,MCMC,2,0,5
6,3,0.6,100,MCMC,17,3,17
6,2,0.6,1000,MCMC,1,1,8
6,2,0.6,500,MCMC,0,0,6
6,2,0.6,100,MCMC,2,1,8
6,3,0.4,1000,MCMC,3,2,3
6,3,0.4,500,MCMC,1,1,1
6,3,0.4,100,MCMC,3,1,3
6,2,0.4,1000,MCMC,2,0,3
6,2,0.4,500,MCMC,2,3,3
6,2,0.4,100,MCMC,3,1,3
6,3,0.2,1000,MCMC,7,2,7
6,3,0.2,500,MCMC,1,2,1
6,3,0.2,100,MCMC,3,2,4
6,2,0.2,1000,MCMC,3,0,3
6,2,0.2,500,MCMC,1,3,1
6,2,0.2,100,MCMC,2,1,2
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,0,0,2
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,1
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,1
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,1
4,2,0.6,100,MCMC,2,0,2
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,2,0
4,2,0.4,100,MCMC,0,2,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,1,0
4,2,0.4,100,MCMC,1,1,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,1,0
6,3,0.8,1000,MCMC,14,4,17
6,3,0.8,500,MCMC,10,4,15
6,3,0.8,100,MCMC,17,3,18
6,2,0.8,1000,MCMC,1,0,7
6,2,0.8,500,MCMC,18,2,18
6,2,0.8,100,MCMC,13,2,15
6,3,0.6,1000,MCMC,2,1,4
6,3,0.6,500,MCMC,6,0,7
6,3,0.6,100,MCMC,7,2,7
6,2,0.6,1000,MCMC,2,1,7
6,2,0.6,500,MCMC,6,0,9
6,2,0.6,100,MCMC,9,0,9
6,3,0.4,1000,MCMC,2,0,4
6,3,0.4,500,MCMC,3,0,5
6,3,0.4,100,MCMC,7,0,7
6,2,0.4,1000,MCMC,1,1,1
6,2,0.4,500,MCMC,2,0,3
6,2,0.4,100,MCMC,1,0,1
6,3,0.2,1000,MCMC,2,2,3
6,3,0.2,500,MCMC,3,1,3
6,3,0.2,100,MCMC,2,1,3
6,2,0.2,1000,MCMC,2,0,2
6,2,0.2,500,MCMC,3,2,3
6,2,0.2,100,MCMC,2,0,2
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,1
4,2,0.8,100,MCMC,0,0,1
4,2,0.8,1000,MCMC,2,0,3
4,2,0.8,500,MCMC,2,0,2
4,2,0.8,100,MCMC,4,1,5
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,1
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,2,0,2
4,2,0.6,100,MCMC,3,0,3
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,8,2,8
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,5,0,9
6,3,0.8,500,MCMC,8,2,10
6,3,0.8,100,MCMC,8,1,11
6,2,0.8,1000,MCMC,5,1,9
6,2,0.8,500,MCMC,16,1,18
6,2,0.8,100,MCMC,9,0,10
6,3,0.6,1000,MCMC,2,0,7
6,3,0.6,500,MCMC,3,0,5
6,3,0.6,100,MCMC,4,0,6
6,2,0.6,1000,MCMC,0,0,6
6,2,0.6,500,MCMC,3,1,9
6,2,0.6,100,MCMC,8,3,10
6,3,0.4,1000,MCMC,2,2,2
6,3,0.4,500,MCMC,4,1,4
6,3,0.4,100,MCMC,3,0,3
6,2,0.4,1000,MCMC,2,0,3
6,2,0.4,500,MCMC,1,1,1
6,2,0.4,100,MCMC,5,1,6
6,3,0.2,1000,MCMC,1,0,2
6,3,0.2,500,MCMC,2,0,3
6,3,0.2,100,MCMC,2,0,3
6,2,0.2,1000,MCMC,1,0,3
6,2,0.2,500,MCMC,2,1,2
6,2,0.2,100,MCMC,4,0,4
4,2,0.8,1000,MCMC,1,0,1
4,2,0.8,500,MCMC,1,0,1
4,2,0.8,100,MCMC,2,0,2
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,4,0,4
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,2,2,2
4,2,0.6,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,2,0,2
4,2,0.6,100,MCMC,1,0,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,2,2,2
4,2,0.4,100,MCMC,2,2,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,1
4,2,0.2,100,MCMC,4,1,4
6,3,0.8,1000,MCMC,2,1,6
6,3,0.8,500,MCMC,2,0,9
6,3,0.8,100,MCMC,7,0,10
6,2,0.8,1000,MCMC,4,1,7
6,2,0.8,500,MCMC,1,0,6
6,2,0.8,100,MCMC,9,2,10
6,3,0.6,1000,MCMC,3,2,10
6,3,0.6,500,MCMC,14,3,15
6,3,0.6,100,MCMC,15,3,16
6,2,0.6,1000,MCMC,2,1,7
6,2,0.6,500,MCMC,5,2,9
6,2,0.6,100,MCMC,10,2,11
6,3,0.4,1000,MCMC,2,1,3
6,3,0.4,500,MCMC,2,0,3
6,3,0.4,100,MCMC,4,0,4
6,2,0.4,1000,MCMC,1,2,3
6,2,0.4,500,MCMC,2,0,2
6,2,0.4,100,MCMC,1,0,2
6,3,0.2,1000,MCMC,1,1,1
6,3,0.2,500,MCMC,2,0,2
6,3,0.2,100,MCMC,1,0,1
6,2,0.2,1000,MCMC,3,0,3
6,2,0.2,500,MCMC,3,2,3
6,2,0.2,100,MCMC,4,2,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,9,1,9
4,2,0.8,100,MCMC,8,1,8
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,3,2,4
4,2,0.6,100,MCMC,2,1,2
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,8,1,8
4,2,0.4,500,MCMC,3,0,4
4,2,0.4,100,MCMC,3,0,4
4,2,0.4,1000,MCMC,0,1,0
4,2,0.4,500,MCMC,0,1,0
4,2,0.4,100,MCMC,0,1,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,1,2,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,2,0,2
4,2,0.2,100,MCMC,1,0,1
6,3,0.8,1000,MCMC,4,1,10
6,3,0.8,500,MCMC,9,3,12
